study_m,Month,obd,phase,int_carb_asp,int_targ_screen,int_screen_all,int_hand,int_asp,bedocc,hh_adherence,hh_trained,abhr,rectalswab,all_monitor_abx,cephalosporins_DDD,carbapenems,aps_cephalosporins,fluoroquinolones,all_gn_bsi,ecoli_ccs_bsi,ecoli_3gcr_bsi,cre_bsi,mssa_bsi,mrsa_bsi,gram_neg_bsi,csab_all_any,crab_all_any,cskp_all_any,crkp_all_any,cspa_all_any,crpa_all_any,csab_all_clinical,crab_all_clinical,cskp_all_clinical,crkp_all_clinical,cspa_all_clinical,crpa_all_clinical,csab_all_bsi,crab_all_bsi,cskp_all_bsi,crkp_all_bsi,cspa_all_bsi,crpa_all_bsi,csab_all_resp,crab_all_resp,cskp_all_resp,crkp_all_resp,cspa_all_resp,crpa_all_resp,csab_all_uti,crab_all_uti,cskp_all_uti,crkp_all_uti,cspa_all_uti,crpa_all_uti,csab_all_other,crab_all_other,cskp_all_other,crkp_all_other,cspa_all_other,crpa_all_other,csab_all_swab,crab_all_swab,cskp_all_swab,crkp_all_swab,cspa_all_swab,crpa_all_swab,csab_adm_swab,crab_adm_swab,cskp_adm_swab,crkp_adm_swab,cspa_adm_swab,crpa_adm_swab,csab_ho_any,crab_ho_any,cskp_ho_any,crkp_ho_any,cspa_ho_any,crpa_ho_any,csab_ho_clinical,crab_ho_clinical,cskp_ho_clinical,crkp_ho_clinical,cspa_ho_clinical,crpa_ho_clinical,csab_ho_bsi,crab_ho_bsi,cskp_ho_bsi,crkp_ho_bsi,cspa_ho_bsi,crpa_ho_bsi,csab_ho_resp,crab_ho_resp,cskp_ho_resp,crkp_ho_resp,cspa_ho_resp,crpa_ho_resp,csab_ho_uti,crab_ho_uti,cskp_ho_uti,crkp_ho_uti,cspa_ho_uti,crpa_ho_uti,csab_ho_other,crab_ho_other,cskp_ho_other,crkp_ho_other,cspa_ho_other,crpa_ho_other,csab_ho_swab,crab_ho_swab,cskp_ho_swab,crkp_ho_swab,cspa_ho_swab,crpa_ho_swab,csab_co_nothca_any,crab_co_nothca_any,cskp_co_nothca_any,crkp_co_nothca_any,cspa_co_nothca_any,crpa_co_nothca_any,csab_co_nothca_clinical,crab_co_nothca_clinical,cskp_co_nothca_clinical,crkp_co_nothca_clinical,cspa_co_nothca_clinical,crpa_co_nothca_clinical,csab_co_nothca_bsi,crab_co_nothca_bsi,cskp_co_nothca_bsi,crkp_co_nothca_bsi,cspa_co_nothca_bsi,crpa_co_nothca_bsi,csab_co_nothca_resp,crab_co_nothca_resp,cskp_co_nothca_resp,crkp_co_nothca_resp,cspa_co_nothca_resp,crpa_co_nothca_resp,csab_co_nothca_uti,crab_co_nothca_uti,cskp_co_nothca_uti,crkp_co_nothca_uti,cspa_co_nothca_uti,crpa_co_nothca_uti,csab_co_nothca_other,crab_co_nothca_other,cskp_co_nothca_other,crkp_co_nothca_other,cspa_co_nothca_other,crpa_co_nothca_other,csab_co_nothca_adm_swab,crab_co_nothca_adm_swab,cskp_co_nothca_adm_swab,crkp_co_nothca_adm_swab,cspa_co_nothca_adm_swab,crpa_co_nothca_adm_swab,csab_hca_all,crab_hca_all,cskp_hca_all,crkp_hca_all,cspa_hca_all,crpa_hca_all,csab_hca_clinical,crab_hca_clinical,cskp_hca_clinical,crkp_hca_clinical,cspa_hca_clinical,crpa_hca_clinical,csab_hca_bsi,crab_hca_bsi,cskp_hca_bsi,crkp_hca_bsi,cspa_hca_bsi,crpa_hca_bsi,csab_hca_resp,crab_hca_resp,cskp_hca_resp,crkp_hca_resp,cspa_hca_resp,crpa_hca_resp,csab_hca_uti,crab_hca_uti,cskp_hca_uti,crkp_hca_uti,cspa_hca_uti,crpa_hca_uti,csab_hca_other,crab_hca_other,cskp_hca_other,crkp_hca_other,cspa_hca_other,crpa_hca_other,csab_hca_swab,crab_hca_swab,cskp_hca_swab,crkp_hca_swab,cspa_hca_swab,crpa_hca_swab,csab_co_hca_any,crab_co_hca_any,cskp_co_hca_any,crkp_co_hca_any,cspa_co_hca_any,crpa_co_hca_any,csab_co_hca_clinical,crab_co_hca_clinical,cskp_co_hca_clinical,crkp_co_hca_clinical,cspa_co_hca_clinical,crpa_co_hca_clinical,csab_co_hca_bsi,crab_co_hca_bsi,cskp_co_hca_bsi,crkp_co_hca_bsi,cspa_co_hca_bsi,crpa_co_hca_bsi,csab_co_hca_resp,crab_co_hca_resp,cskp_co_hca_resp,crkp_co_hca_resp,cspa_co_hca_resp,crpa_co_hca_resp,csab_co_hca_uti,crab_co_hca_uti,cskp_co_hca_uti,crkp_co_hca_uti,cspa_co_hca_uti,crpa_co_hca_uti,csab_co_hca_other,crab_co_hca_other,cskp_co_hca_other,crkp_co_hca_other,cspa_co_hca_other,crpa_co_hca_other,csab_co_hca_adm_swab,crab_co_hca_adm_swab,cskp_co_hca_adm_swab,crkp_co_hca_adm_swab,cspa_co_hca_adm_swab,crpa_co_hca_adm_swab
11,Nov-08,18528,1,F,F,F,F,F,88.9,NA,NA,75,0,16067,1259,772,270,1843,27,8,3,1,5,3,24,5,2,19,2,32,5,3,2,18,2,30,5,1,0,0,0,3,0,1,0,0,0,11,0,1,2,13,1,8,3,0,0,5,1,8,2,2,0,1,0,2,0,0,0,1,0,0,0,3,1,8,2,21,2,1,1,8,2,19,2,1,0,0,0,1,0,0,0,0,0,8,0,0,1,5,1,7,0,0,0,3,1,3,2,2,0,0,0,2,0,2,0,8,0,6,3,2,0,7,0,6,3,0,0,0,0,1,0,1,0,0,0,2,0,1,0,6,0,0,3,0,0,1,0,3,0,0,0,1,0,0,0,3,2,11,2,26,2,1,2,11,2,24,2,1,0,0,0,2,0,0,0,0,0,9,0,0,2,7,1,8,0,0,0,4,1,5,2,2,0,0,0,2,0,0,1,3,0,5,0,0,1,3,0,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0
12,Dec-08,14786,1,F,F,F,F,F,85.4,NA,NA,69,0,13445,1071,551,282,1298,31,4,2,0,2,2,12,2,2,15,0,28,8,1,2,15,0,28,8,0,0,1,0,1,1,0,1,4,0,6,2,0,1,8,0,11,2,1,0,2,0,10,3,1,0,0,0,0,0,0,0,0,0,0,0,2,2,10,0,22,8,1,2,10,0,22,8,0,0,1,0,1,1,0,1,2,0,4,2,0,1,5,0,7,2,1,0,2,0,10,3,1,0,0,0,0,0,0,0,4,0,5,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,11,0,23,8,1,2,11,0,23,8,0,0,1,0,1,1,0,1,2,0,4,2,0,1,6,0,8,2,1,0,2,0,10,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Jan-09,16932,1,F,F,F,F,F,90,NA,NA,60,0,15239,1173,794,311,1752,24.00000001,6,5,0,4,0,20,1,1,17,1,25,4,1,1,12,1,21,3,0,0,4,0,1,0,1,1,2,1,7,1,0,0,3,0,8,1,0,0,3,0,5,1,0,0,5,0,4,1,0,0,1,0,1,0,1,1,11,0,17,4,1,1,7,0,14,3,0,0,2,0,0,0,1,1,1,0,5,1,0,0,1,0,5,1,0,0,3,0,4,1,0,0,4,0,3,1,0,0,3,0,7,0,0,0,2,0,7,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,14,1,18,4,1,1,10,1,14,3,0,0,3,0,0,0,1,1,2,1,5,1,0,0,2,0,5,1,0,0,3,0,4,1,0,0,4,0,4,1,0,0,3,1,1,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14,Feb-09,16932,1,F,F,F,F,F,89.5,NA,NA,81,0,15423,1147,960,335,1671,12,5,1,0,2,1,12,2,4,20,0,26,7,2,4,17,0,21,7,0,0,0,0,0,0,0,1,2,0,9,6,0,1,12,0,8,0,2,2,3,0,4,1,0,0,3,0,5,0,0,0,0,0,1,0,1,3,14,0,19,6,1,3,11,0,15,6,0,0,0,0,0,0,0,1,2,0,6,5,0,1,6,0,7,0,1,1,3,0,2,1,0,0,3,0,4,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,4,16,0,22,7,2,4,13,0,17,7,0,0,0,0,0,0,0,1,2,0,7,6,0,1,8,0,8,0,2,2,3,0,2,1,0,0,3,0,5,0,1,1,2,0,3,1,1,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0
15,Mar-09,18518,1,F,F,F,F,F,89.4,NA,NA,65,0,16648,1312,1048,425,1829,20,4,0,0,3,3,19,0,9,20,0,32,5,0,9,19,0,30,4,0,3,3,0,3,0,0,4,4,0,12,1,0,2,7,0,9,1,0,0,5,0,6,2,0,0,1,0,2,1,0,0,0,0,0,0,0,6,9,0,18,4,0,6,8,0,16,3,0,2,1,0,1,0,0,4,3,0,7,1,0,0,1,0,6,0,0,0,3,0,2,2,0,0,1,0,2,1,0,2,7,0,9,0,0,2,7,0,9,0,0,0,1,0,1,0,0,0,1,0,2,0,0,2,4,0,2,0,0,0,1,0,4,0,0,0,0,0,0,0,0,7,13,0,23,5,0,7,12,0,21,4,0,3,2,0,2,0,0,4,3,0,10,1,0,0,3,0,7,1,0,0,4,0,2,2,0,0,1,0,2,1,0,1,4,0,5,1,0,1,4,0,5,1,0,1,1,0,1,0,0,0,0,0,3,0,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
16,Apr-09,17599,1,F,F,F,F,F,88.2,NA,NA,107,0,15448,1504,721,343,1645,12,7,3,0,4,1,25,0,6,25,0,29,4,0,6,24,0,27,4,0,1,6,0,3,0,0,2,1,0,8,2,0,2,13,0,8,1,0,1,4,0,8,1,0,0,1,0,2,0,0,0,0,0,1,0,0,6,13,0,20,3,0,6,12,0,19,3,0,1,2,0,1,0,0,2,0,0,7,2,0,2,8,0,4,0,0,1,2,0,7,1,0,0,1,0,1,0,0,0,4,0,4,1,0,0,4,0,4,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,6,21,0,25,3,0,6,20,0,23,3,0,1,5,0,2,0,0,2,0,0,8,2,0,2,12,0,5,0,0,1,3,0,8,1,0,0,1,0,2,0,0,0,8,0,5,0,0,0,8,0,4,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
17,May-09,17032,1,F,F,F,F,F,87.2,NA,NA,92,0,15136,1205,665,308,1641,19,8,3,0,5,0,24,0,6,25,0,31,5,0,6,23,0,30,4,0,0,1,0,3,1,0,2,5,0,5,1,0,3,12,0,11,0,0,1,5,0,11,2,0,0,2,0,1,1,0,0,1,0,0,0,0,4,16,0,14,4,0,4,15,0,13,3,0,0,0,0,2,1,0,1,2,0,1,0,0,2,9,0,4,0,0,1,4,0,6,2,0,0,1,0,1,1,0,1,7,0,7,0,0,1,7,0,7,0,0,0,1,0,1,0,0,0,3,0,2,0,0,1,3,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,18,0,24,5,0,5,16,0,23,4,0,0,0,0,2,1,0,2,2,0,3,1,0,2,9,0,9,0,0,1,5,0,9,2,0,0,2,0,1,1,0,1,2,0,10,1,0,1,1,0,10,1,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,5,0,0,0,1,0,3,0,0,0,1,0,0,0
18,Jun-09,18054,1,F,F,F,F,F,88.8,NA,NA,92,0,15983,1320,1030,404,2437,25,11,4,0,4,0,29,0,12,24,0,23,5,0,11,24,0,21,4,0,1,1,0,4,2,0,6,2,0,6,2,0,1,18,0,5,0,0,3,3,0,6,0,0,1,0,0,2,1,0,1,0,0,1,0,0,9,12,0,14,4,0,9,12,0,13,3,0,1,0,0,2,1,0,4,1,0,3,2,0,1,8,0,2,0,0,3,3,0,6,0,0,0,0,0,1,1,0,0,7,0,7,0,0,0,7,0,6,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,17,0,16,5,0,11,17,0,15,4,0,1,1,0,3,2,0,6,2,0,4,2,0,1,11,0,2,0,0,3,3,0,6,0,0,1,0,0,1,1,0,3,5,0,2,1,0,2,5,0,2,1,0,0,1,0,1,1,0,2,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19,Jul-09,17576,1,F,F,F,F,F,87.2,NA,NA,160,0,12734,1235,934,406,2033,24,6,4,0,3,1,28,2,14,27,1,29,4,2,11,25,1,29,4,0,1,4,0,2,0,1,2,2,0,4,1,1,3,13,1,13,0,0,5,6,0,10,3,0,3,2,0,0,0,0,0,0,0,0,0,2,12,19,1,18,3,2,9,17,1,18,3,0,1,2,0,2,0,1,1,2,0,2,1,1,3,8,1,8,0,0,4,5,0,6,2,0,3,2,0,0,0,0,0,5,0,7,0,0,0,5,0,7,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,4,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,2,14,22,1,22,4,2,11,20,1,22,4,0,1,3,0,2,0,1,2,2,0,2,1,1,3,9,1,11,0,0,5,6,0,7,3,0,3,2,0,0,0,0,2,3,0,4,1,0,2,3,0,4,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,1,1,0,1,1,0,0,0,0,0,0
20,Aug-09,13136,1,F,F,F,F,F,84.3,NA,NA,130,0,9517,926,736,303,1284,29,2,0,0,2,0,24,0,23,28,1,27,6,0,22,28,0,27,6,0,5,2,0,2,1,0,8,2,0,8,3,0,4,21,0,11,2,0,5,3,0,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,19,14,1,21,6,0,18,14,0,21,6,0,5,1,0,2,1,0,6,1,0,6,3,0,3,10,0,8,2,0,4,2,0,5,0,0,1,0,1,0,0,0,0,10,0,4,0,0,0,10,0,4,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,7,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,23,18,1,23,6,0,22,18,0,23,6,0,5,1,0,2,1,0,8,1,0,7,3,0,4,14,0,9,2,0,5,2,0,5,0,0,1,0,1,0,0,0,4,4,0,2,0,0,4,4,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
21,Sep-09,16801,1,F,F,F,F,F,83.1,NA,NA,175,0,10659,1192,892,270,1906,28,11,2,0,0,3,27,2,23,30,1,30,4,1,22,29,1,29,4,0,0,1,0,1,0,1,12,9,0,5,2,0,5,13,0,10,1,0,5,6,1,13,1,1,1,1,0,1,0,0,1,0,0,0,0,2,20,15,1,21,2,1,20,14,1,20,2,0,0,0,0,1,0,1,11,6,0,5,1,0,4,3,0,6,0,0,5,5,1,8,1,1,0,1,0,1,0,0,0,11,0,7,0,0,0,11,0,7,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,8,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,2,23,19,1,23,4,1,22,18,1,22,4,0,0,0,0,1,0,1,12,7,0,5,2,0,5,5,0,7,1,0,5,6,1,9,1,1,1,1,0,1,0,0,3,4,0,2,2,0,2,4,0,2,2,0,0,0,0,0,0,0,1,1,0,0,1,0,1,2,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0
22,Oct-09,19259,1,F,F,F,F,F,88,NA,NA,196,0,13635,1519,1151,363,2114,24.00000001,7,8,0,4,3,39,4,24,34,0,37,5,4,24,32,0,35,5,0,2,2,0,3,0,1,7,6,0,15,4,2,7,14,0,6,0,1,8,10,0,11,1,0,0,2,0,2,0,0,0,0,0,0,0,2,19,18,0,22,4,2,19,16,0,20,4,0,2,1,0,3,0,1,6,3,0,8,3,1,3,5,0,1,0,0,8,7,0,8,1,0,0,2,0,2,0,2,0,8,0,11,0,2,0,8,0,11,0,0,0,0,0,0,0,0,0,2,0,4,0,1,0,5,0,4,0,1,0,1,0,3,0,0,0,0,0,0,0,2,24,26,0,26,5,2,24,24,0,24,5,0,2,2,0,3,0,1,7,4,0,11,4,1,7,9,0,2,0,0,8,9,0,8,1,0,0,2,0,2,0,0,5,8,0,4,1,0,5,8,0,4,1,0,0,1,0,0,0,0,1,1,0,3,1,0,4,4,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
23,Nov-09,18177,1,F,F,F,F,F,87.9,NA,NA,225,0,13795,1435,1070,341,2014,26.99999999,11,6,0,5,2,27,1,14,22,0,24,2,1,11,21,0,22,2,0,0,2,0,2,0,0,3,4,0,7,0,1,6,10,0,5,2,0,2,5,0,8,0,0,3,1,0,2,0,0,0,1,0,0,0,1,13,8,0,18,1,1,10,8,0,16,1,0,0,0,0,2,0,0,2,2,0,5,0,1,6,3,0,5,1,0,2,3,0,4,0,0,3,0,0,2,0,0,0,7,0,4,0,0,0,6,0,4,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,14,15,0,20,2,1,11,15,0,18,2,0,0,1,0,2,0,0,3,2,0,6,0,1,6,7,0,5,2,0,2,5,0,5,0,0,3,0,0,2,0,0,1,7,0,2,1,0,1,7,0,2,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,4,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0
24,Dec-09,18681,1,F,F,F,F,F,87.3,NA,NA,259,0,14431,1640,926,336,2398,39,4,0,0,4,1,24,2,9,33,0,25,3,2,9,32,0,25,3,0,2,4,0,2,0,0,4,4,0,9,2,1,2,18,0,11,0,1,1,6,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,9,18,0,18,3,1,9,17,0,18,3,0,2,0,0,1,0,0,4,2,0,8,2,0,2,11,0,7,0,1,1,4,0,2,1,0,0,1,0,0,0,1,0,8,0,5,0,1,0,8,0,5,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,3,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,1,9,25,0,20,3,1,9,24,0,20,3,0,2,1,0,1,0,0,4,4,0,9,2,0,2,15,0,8,0,1,1,4,0,2,1,0,0,1,0,0,0,0,0,7,0,2,0,0,0,7,0,2,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Jan-10,16904,1,F,F,F,F,F,88.3,NA,NA,205,0,12960,1462,902,319,2292,27.00000001,9,1,0,0,2,24,0,20,38,0,30,7,0,20,36,0,29,7,0,0,4,0,2,1,0,10,3,0,7,2,0,6,19,0,11,2,0,4,10,0,9,2,0,0,2,0,1,0,0,0,0,0,0,0,0,18,29,0,18,6,0,18,27,0,17,6,0,0,3,0,1,1,0,9,3,0,3,2,0,6,12,0,6,1,0,3,9,0,7,2,0,0,2,0,1,0,0,0,6,0,7,0,0,0,6,0,7,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,4,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20,32,0,23,7,0,20,30,0,22,7,0,0,3,0,1,1,0,10,3,0,6,2,0,6,15,0,6,2,0,4,9,0,9,2,0,0,2,0,1,0,0,2,3,0,5,1,0,2,3,0,5,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,3,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0
26,Feb-10,16904,1,F,F,F,F,F,89.3,NA,NA,153,0,12997,1480,900,300,2271,24,3,7,0,2,0,20,1,4,27,1,29,9,1,4,25,1,26,8,1,0,2,0,1,2,0,2,3,0,5,2,0,1,16,1,13,1,0,1,4,0,7,3,0,0,2,0,3,1,0,0,0,0,1,1,1,4,14,1,19,7,1,4,12,1,17,7,1,0,2,0,1,2,0,2,1,0,4,1,0,1,5,1,8,1,0,1,4,0,4,3,0,0,2,0,2,0,0,0,8,0,7,1,0,0,8,0,7,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,7,0,3,0,0,0,0,0,3,0,0,0,0,0,0,1,1,4,19,1,22,8,1,4,17,1,19,8,1,0,2,0,1,2,0,2,2,0,4,2,0,1,9,1,10,1,0,1,4,0,4,3,0,0,2,0,3,0,0,0,5,0,3,1,0,0,5,0,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
27,Mar-10,20343,1,F,F,F,F,F,84.5,NA,NA,159,0,15845,1623,1013,339,2843,24,7,1,0,7,4,20,0,10,30,3,32,5,0,9,28,3,30,5,0,0,2,1,2,1,0,3,9,0,10,2,0,1,12,2,9,2,0,5,5,0,9,0,0,1,2,0,2,0,0,1,1,0,0,0,0,9,22,3,23,5,0,9,21,3,21,5,0,0,2,1,2,1,0,3,5,0,7,2,0,1,9,2,8,2,0,5,5,0,4,0,0,0,1,0,2,0,0,1,4,0,2,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,9,26,3,30,5,0,9,24,3,28,5,0,0,2,1,2,1,0,3,6,0,10,2,0,1,11,2,8,2,0,5,5,0,8,0,0,0,2,0,2,0,0,0,4,0,7,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0
28,Apr-10,17751,1,F,F,F,F,F,83,NA,NA,184,0,14006,1398,848,315,2582,19.99999999,6,6,0,4,0,28,3,11,28,1,23,10,1,11,25,1,19,8,0,1,1,0,1,2,1,6,6,0,4,2,0,3,9,0,9,4,0,1,9,1,5,0,2,0,3,0,4,2,0,0,1,0,3,1,3,10,18,1,10,6,1,10,16,1,9,5,0,1,0,0,1,2,1,6,5,0,2,2,0,2,4,0,2,1,0,1,7,1,4,0,2,0,2,0,1,1,0,0,4,0,5,2,0,0,4,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,2,0,0,1,0,1,0,0,0,0,0,1,0,3,11,24,1,18,8,1,11,21,1,15,6,0,1,1,0,1,2,1,6,6,0,4,2,0,3,6,0,6,2,0,1,8,1,4,0,2,0,3,0,3,2,0,1,6,0,8,2,0,1,5,0,6,1,0,0,1,0,0,0,0,0,1,0,2,0,0,1,2,0,4,1,0,0,1,0,0,0,0,0,1,0,2,1
29,May-10,19197,1,F,F,F,F,F,83,NA,NA,163,0,14526,1491,873,360,2837,20.00000001,11,2,0,6,1,31,2,9,29,2,34,8,1,9,26,2,28,8,0,1,1,1,3,1,0,6,1,0,4,4,0,2,13,1,10,3,1,0,11,0,11,0,1,0,3,0,6,0,1,0,1,0,3,0,1,8,20,0,23,7,1,8,18,0,20,7,0,1,0,0,3,1,0,5,1,0,3,4,0,2,9,0,7,2,1,0,8,0,7,0,0,0,2,0,3,0,0,0,5,1,7,1,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,1,0,3,0,0,0,1,0,3,0,2,9,24,1,27,7,1,9,22,1,24,7,0,1,1,1,3,1,0,6,1,0,4,4,0,2,10,0,9,2,1,0,10,0,8,0,1,0,2,0,3,0,1,1,4,1,4,0,0,1,4,1,4,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,2,0,0,0,2,0,1,0,1,0,0,0,0,0
30,Jun-10,18737,1,F,F,F,F,F,82.5,NA,NA,188,0,13968,1433,916,309,2827,27.99999999,14,4,0,2,5,39,2,11,30,2,25,10,2,11,29,2,24,10,0,1,4,1,1,3,1,3,4,0,5,3,0,5,13,1,11,3,1,2,8,0,7,1,0,0,1,0,1,0,0,0,0,0,0,0,1,11,23,2,17,8,1,11,22,2,16,8,0,1,3,1,1,2,1,3,3,0,3,2,0,5,9,1,6,3,0,2,7,0,6,1,0,0,1,0,1,0,1,0,4,0,2,1,1,0,4,0,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,11,26,2,23,9,1,11,25,2,22,9,0,1,4,1,1,3,1,3,3,0,5,2,0,5,10,1,9,3,0,2,8,0,7,1,0,0,1,0,1,0,0,0,3,0,6,1,0,0,3,0,6,1,0,0,1,0,0,1,0,0,0,0,2,0,0,0,1,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0
31,Jul-10,16848,1,F,F,F,F,F,83.7,NA,NA,210,0,12414,1310,897,281,2565,31.00000001,7,5,0,4,4,33,2,17,26,4,41,6,1,15,23,4,30,6,0,1,2,1,1,2,1,5,5,0,6,3,0,6,14,3,7,0,0,3,2,0,16,1,1,2,3,0,11,0,0,0,2,0,6,0,2,11,14,2,25,4,1,9,13,2,20,4,0,1,1,1,0,1,1,3,4,0,3,3,0,3,7,1,6,0,0,2,1,0,11,0,1,2,1,0,5,0,0,2,10,0,11,1,0,2,8,0,6,1,0,0,0,0,0,0,0,0,1,0,3,0,0,1,6,0,0,0,0,1,1,0,3,1,0,0,2,0,5,0,2,15,16,4,30,5,1,13,15,4,24,5,0,1,2,1,1,2,1,5,4,0,3,3,0,5,8,3,7,0,0,2,1,0,13,0,1,2,1,0,6,0,0,4,2,2,5,1,0,4,2,2,4,1,0,0,1,0,1,1,0,2,0,0,0,0,0,2,1,2,1,0,0,0,0,0,2,0,0,0,0,0,1,0
32,Aug-10,14334,1,F,F,F,F,F,80,NA,NA,152,0,10528,1115,812,223,2183,39.00000001,7,3,0,4,2,26,0,13,38,1,30,5,0,10,33,0,23,5,0,1,1,0,3,1,0,2,3,0,4,3,0,4,16,0,5,0,0,3,13,0,11,1,0,3,5,1,7,0,0,1,3,0,2,0,0,11,20,1,21,4,0,9,18,0,16,4,0,1,0,0,1,1,0,1,2,0,3,3,0,4,7,0,4,0,0,3,9,0,8,0,0,2,2,1,5,0,0,0,8,0,3,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,1,0,0,0,3,0,2,0,0,13,30,1,27,5,0,10,28,0,22,5,0,1,1,0,3,1,0,2,3,0,4,3,0,4,13,0,5,0,0,3,11,0,10,1,0,3,2,1,5,0,0,2,10,0,6,1,0,1,10,0,6,1,0,0,1,0,2,0,0,1,1,0,1,0,0,0,6,0,1,0,0,0,2,0,2,1,0,1,0,0,0,0
33,Sep-10,15131,1,F,F,F,F,F,81.2,NA,NA,217,0,11096,1207,655,252,2534,32.99999999,10,5,0,3,1,39,4,5,36,1,37,10,2,5,29,1,31,10,1,1,4,0,3,0,0,1,2,0,8,4,1,1,9,0,10,2,0,2,14,1,10,4,2,0,7,0,6,0,1,0,2,0,3,0,1,4,19,1,21,6,0,4,14,1,18,6,0,1,1,0,1,0,0,1,2,0,4,2,0,0,3,0,8,1,0,2,8,1,5,3,1,0,5,0,3,0,2,0,10,0,8,1,1,0,9,0,6,1,0,0,2,0,0,0,0,0,0,0,3,1,1,0,5,0,0,0,0,0,2,0,3,0,1,0,1,0,2,0,2,5,26,1,29,9,1,5,20,1,25,9,1,1,2,0,3,0,0,1,2,0,5,3,0,1,4,0,10,2,0,2,12,1,7,4,1,0,6,0,4,0,1,1,7,0,8,3,1,1,6,0,7,3,1,0,1,0,2,0,0,0,0,0,1,1,0,1,1,0,2,1,0,0,4,0,2,1,0,0,1,0,1,0
