study_m,Month,obd,int_carb_asp,int_targ_screen,int_screen_all,int_hand,int_asp,all_gn_bsi,bedocc,hh_adherence,hh_trained,gel_alcolico,rectalswab,all_monitor_abx_DDD,cephalosporins_DDD,carbapenem_DDD,abhrnum,aps_cephs_DDD,fq_DDD,ecoli_ccs_bsi,ecoli_3gcr_bsi,cre_bsi,mssa_bsi,mrsa_bsi,gram_neg_bsi,csab_all_any,crab_all_any,cskp_all_any,crkp_all_any,cspa_all_any,crpa_all_any,csab_all_clinical,crab_all_clinical,cskp_all_clinical,crkp_all_clinical,cspa_all_clinical,crpa_all_clinical,csab_all_bsi,crab_all_bsi,cskp_all_bsi,crkp_all_bsi,cspa_all_bsi,crpa_all_bsi,csab_all_resp,crab_all_resp,cskp_all_resp,crkp_all_resp,cspa_all_resp,crpa_all_resp,csab_all_uti,crab_all_uti,cskp_all_uti,crkp_all_uti,cspa_all_uti,crpa_all_uti,csab_all_other,crab_all_other,cskp_all_other,crkp_all_other,cspa_all_other,crpa_all_other,csab_all_swab,crab_all_swab,cskp_all_swab,crkp_all_swab,cspa_all_swab,crpa_all_swab,csab_adm_swab,crab_adm_swab,cskp_adm_swab,crkp_adm_swab,cspa_adm_swab,crpa_adm_swab,csab_ho_any,crab_ho_any,cskp_ho_any,crkp_ho_any,cspa_ho_any,crpa_ho_any,csab_ho_clinical,crab_ho_clinical,cskp_ho_clinical,crkp_ho_clinical,cspa_ho_clinical,crpa_ho_clinical,csab_ho_bsi,crab_ho_bsi,cskp_ho_bsi,crkp_ho_bsi,cspa_ho_bsi,crpa_ho_bsi,csab_ho_resp,crab_ho_resp,cskp_ho_resp,crkp_ho_resp,cspa_ho_resp,crpa_ho_resp,csab_ho_uti,crab_ho_uti,cskp_ho_uti,crkp_ho_uti,cspa_ho_uti,crpa_ho_uti,csab_ho_other,crab_ho_other,cskp_ho_other,crkp_ho_other,cspa_ho_other,crpa_ho_other,csab_ho_swab,crab_ho_swab,cskp_ho_swab,crkp_ho_swab,cspa_ho_swab,crpa_ho_swab,csab_co_nothca_any,crab_co_nothca_any,cskp_co_nothca_any,crkp_co_nothca_any,cspa_co_nothca_any,crpa_co_nothca_any,csab_co_nothca_clinical,crab_co_nothca_clinical,cskp_co_nothca_clinical,crkp_co_nothca_clinical,cspa_co_nothca_clinical,crpa_co_nothca_clinical,csab_co_nothca_bsi,crab_co_nothca_bsi,cskp_co_nothca_bsi,crkp_co_nothca_bsi,cspa_co_nothca_bsi,crpa_co_nothca_bsi,csab_co_nothca_resp,crab_co_nothca_resp,cskp_co_nothca_resp,crkp_co_nothca_resp,cspa_co_nothca_resp,crpa_co_nothca_resp,csab_co_nothca_uti,crab_co_nothca_uti,cskp_co_nothca_uti,crkp_co_nothca_uti,cspa_co_nothca_uti,crpa_co_nothca_uti,csab_co_nothca_other,crab_co_nothca_other,cskp_co_nothca_other,crkp_co_nothca_other,cspa_co_nothca_other,crpa_co_nothca_other,csab_co_nothca_adm_swab,crab_co_nothca_adm_swab,cskp_co_nothca_adm_swab,crkp_co_nothca_adm_swab,cspa_co_nothca_adm_swab,crpa_co_nothca_adm_swab,csab_co_hca_any,crab_co_hca_any,cskp_co_hca_any,crkp_co_hca_any,cspa_co_hca_any,crpa_co_hca_any,csab_co_hca_clinical,crab_co_hca_clinical,cskp_co_hca_clinical,crkp_co_hca_clinical,cspa_co_hca_clinical,crpa_co_hca_clinical,csab_co_hca_bsi,crab_co_hca_bsi,cskp_co_hca_bsi,crkp_co_hca_bsi,cspa_co_hca_bsi,crpa_co_hca_bsi,csab_co_hca_resp,crab_co_hca_resp,cskp_co_hca_resp,crkp_co_hca_resp,cspa_co_hca_resp,crpa_co_hca_resp,csab_co_hca_uti,crab_co_hca_uti,cskp_co_hca_uti,crkp_co_hca_uti,cspa_co_hca_uti,crpa_co_hca_uti,csab_co_hca_other,crab_co_hca_other,cskp_co_hca_other,crkp_co_hca_other,cspa_co_hca_other,crpa_co_hca_other,csab_co_hca_adm_swab,crab_co_hca_adm_swab,cskp_co_hca_adm_swab,crkp_co_hca_adm_swab,cspa_co_hca_adm_swab,crpa_co_hca_adm_swab
11,Nov-08,18528,F,F,F,F,F,14.57253886,88.9,NA,NA,75,0,16067,1259,772,75,270,1843,8,3,1,5,3,24,5,2,19,2,32,5,3,2,18,2,30,5,1,0,0,0,3,0,1,0,0,0,11,0,1,2,13,1,8,3,0,0,5,1,8,2,2,0,1,0,2,0,0,0,1,0,0,0,3,1,8,2,21,2,1,1,8,2,19,2,1,0,0,0,1,0,0,0,0,0,8,0,0,1,5,1,7,0,0,0,3,1,3,2,2,0,0,0,2,0,2,0,8,0,6,3,2,0,7,0,6,3,0,0,0,0,1,0,1,0,0,0,2,0,1,0,6,0,0,3,0,0,1,0,3,0,0,0,1,0,0,0,0,1,3,0,5,0,0,1,3,0,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0
12,Dec-08,14786,F,F,F,F,F,20.96577844,85.4,NA,NA,69,0,13445,1071,551,69,282,1298,4,2,0,2,2,12,2,2,15,0,28,8,1,2,15,0,28,8,0,0,1,0,1,1,0,1,4,0,6,2,0,1,8,0,11,2,1,0,2,0,10,3,1,0,0,0,0,0,0,0,0,0,0,0,2,2,10,0,22,8,1,2,10,0,22,8,0,0,1,0,1,1,0,1,2,0,4,2,0,1,5,0,7,2,1,0,2,0,10,3,1,0,0,0,0,0,0,0,4,0,5,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Jan-09,16932,F,F,F,F,F,14.17434444,90,NA,NA,60,0,15239,1173,794,59,311,1752,6,5,0,4,0,20,1,1,17,1,25,4,1,1,12,1,21,3,0,0,4,0,1,0,1,1,2,1,7,1,0,0,3,0,8,1,0,0,3,0,5,1,0,0,5,0,4,1,0,0,1,0,1,0,1,1,11,0,17,4,1,1,7,0,14,3,0,0,2,0,0,0,1,1,1,0,5,1,0,0,1,0,5,1,0,0,3,0,4,1,0,0,4,0,3,1,0,0,3,0,7,0,0,0,2,0,7,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,1,1,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14,Feb-09,16932,F,F,F,F,F,7.087172218,89.5,NA,NA,81,0,15423,1147,960,80,335,1671,5,1,0,2,1,12,2,4,20,0,26,7,2,4,17,0,21,7,0,0,0,0,0,0,0,1,2,0,9,6,0,1,12,0,8,0,2,2,3,0,4,1,0,0,3,0,5,0,0,0,0,0,1,0,1,3,14,0,19,6,1,3,11,0,15,6,0,0,0,0,0,0,0,1,2,0,6,5,0,1,6,0,7,0,1,1,3,0,2,1,0,0,3,0,4,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,2,0,3,1,1,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0
15,Mar-09,18518,F,F,F,F,F,10.80030241,89.4,NA,NA,65,0,16648,1312,1048,64,425,1829,4,0,0,3,3,19,0,9,20,0,32,5,0,9,19,0,30,4,0,3,3,0,3,0,0,4,4,0,12,1,0,2,7,0,9,1,0,0,5,0,6,2,0,0,1,0,2,1,0,0,0,0,0,0,0,6,9,0,18,4,0,6,8,0,16,3,0,2,1,0,1,0,0,4,3,0,7,1,0,0,1,0,6,0,0,0,3,0,2,2,0,0,1,0,2,1,0,2,7,0,9,0,0,2,7,0,9,0,0,0,1,0,1,0,0,0,1,0,2,0,0,2,4,0,2,0,0,0,1,0,4,0,0,0,0,0,0,0,0,1,4,0,5,1,0,1,4,0,5,1,0,1,1,0,1,0,0,0,0,0,3,0,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
16,Apr-09,17599,F,F,F,F,F,6.818569237,88.2,NA,NA,107,0,15448,1504,721,107,343,1645,7,3,0,4,1,25,0,6,25,0,29,4,0,6,24,0,27,4,0,1,6,0,3,0,0,2,1,0,8,2,0,2,13,0,8,1,0,1,4,0,8,1,0,0,1,0,2,0,0,0,0,0,1,0,0,6,13,0,20,3,0,6,12,0,19,3,0,1,2,0,1,0,0,2,0,0,7,2,0,2,8,0,4,0,0,1,2,0,7,1,0,0,1,0,1,0,0,0,4,0,4,1,0,0,4,0,4,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,5,0,0,0,8,0,4,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
17,May-09,17032,F,F,F,F,F,11.15547205,87.2,NA,NA,92,0,15136,1205,665,91,308,1641,8,3,0,5,0,24,0,6,25,0,31,5,0,6,23,0,30,4,0,0,1,0,3,1,0,2,5,0,5,1,0,3,12,0,11,0,0,1,5,0,11,2,0,0,2,0,1,1,0,0,1,0,0,0,0,4,16,0,14,4,0,4,15,0,13,3,0,0,0,0,2,1,0,1,2,0,1,0,0,2,9,0,4,0,0,1,4,0,6,2,0,0,1,0,1,1,0,1,7,0,7,0,0,1,7,0,7,0,0,0,1,0,1,0,0,0,3,0,2,0,0,1,3,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,10,1,0,1,1,0,10,1,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,5,0,0,0,1,0,3,0,0,0,1,0,0,0
18,Jun-09,18054,F,F,F,F,F,13.84734685,88.8,NA,NA,92,0,15983,1320,1030,92,404,2437,11,4,0,4,0,29,0,12,24,0,23,5,0,11,24,0,21,4,0,1,1,0,4,2,0,6,2,0,6,2,0,1,18,0,5,0,0,3,3,0,6,0,0,1,0,0,2,1,0,1,0,0,1,0,0,9,12,0,14,4,0,9,12,0,13,3,0,1,0,0,2,1,0,4,1,0,3,2,0,1,8,0,2,0,0,3,3,0,6,0,0,0,0,0,1,1,0,0,7,0,7,0,0,0,7,0,6,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,5,0,2,1,0,2,5,0,2,1,0,0,1,0,1,1,0,2,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19,Jul-09,17576,F,F,F,F,F,13.65498407,87.2,NA,NA,160,0,12734,1235,934,159,406,2033,6,4,0,3,1,28,2,14,27,1,29,4,2,11,25,1,29,4,0,1,4,0,2,0,1,2,2,0,4,1,1,3,13,1,13,0,0,5,6,0,10,3,0,3,2,0,0,0,0,0,0,0,0,0,2,12,19,1,18,3,2,9,17,1,18,3,0,1,2,0,2,0,1,1,2,0,2,1,1,3,8,1,8,0,0,4,5,0,6,2,0,3,2,0,0,0,0,0,5,0,7,0,0,0,5,0,7,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,4,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,3,0,4,1,0,2,3,0,4,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,1,1,0,1,1,0,0,0,0,0,0
20,Aug-09,13136,F,F,F,F,F,22.07673569,84.3,NA,NA,130,0,9517,926,736,130,303,1284,2,0,0,2,0,24,0,23,28,1,27,6,0,22,28,0,27,6,0,5,2,0,2,1,0,8,2,0,8,3,0,4,21,0,11,2,0,5,3,0,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,19,14,1,21,6,0,18,14,0,21,6,0,5,1,0,2,1,0,6,1,0,6,3,0,3,10,0,8,2,0,4,2,0,5,0,0,1,0,1,0,0,0,0,10,0,4,0,0,0,10,0,4,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,7,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4,4,0,2,0,0,4,4,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
21,Sep-09,16801,F,F,F,F,F,16.66567466,83.1,NA,NA,175,0,10659,1192,892,175,270,1906,11,2,0,0,3,27,2,23,30,1,30,4,1,22,29,1,29,4,0,0,1,0,1,0,1,12,9,0,5,2,0,5,13,0,10,1,0,5,6,1,13,1,1,1,1,0,1,0,0,1,0,0,0,0,2,20,15,1,21,2,1,20,14,1,20,2,0,0,0,0,1,0,1,11,6,0,5,1,0,4,3,0,6,0,0,5,5,1,8,1,1,0,1,0,1,0,0,0,11,0,7,0,0,0,11,0,7,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,8,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,4,0,2,2,0,2,4,0,2,2,0,0,0,0,0,0,0,1,1,0,0,1,0,1,2,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0
22,Oct-09,19259,F,F,F,F,F,12.46170622,88,NA,NA,196,0,13635,1519,1151,196,363,2114,7,8,0,4,3,39,4,24,34,0,37,5,4,24,32,0,35,5,0,2,2,0,3,0,1,7,6,0,15,4,2,7,14,0,6,0,1,8,10,0,11,1,0,0,2,0,2,0,0,0,0,0,0,0,2,19,18,0,22,4,2,19,16,0,20,4,0,2,1,0,3,0,1,6,3,0,8,3,1,3,5,0,1,0,0,8,7,0,8,1,0,0,2,0,2,0,2,0,8,0,11,0,2,0,8,0,11,0,0,0,0,0,0,0,0,0,2,0,4,0,1,0,5,0,4,0,1,0,1,0,3,0,0,0,0,0,0,0,0,5,8,0,4,1,0,5,8,0,4,1,0,0,1,0,0,0,0,1,1,0,3,1,0,4,4,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
23,Nov-09,18177,F,F,F,F,F,14.85393629,87.9,NA,NA,225,0,13795,1435,1070,225,341,2014,11,6,0,5,2,27,1,14,22,0,24,2,1,11,21,0,22,2,0,0,2,0,2,0,0,3,4,0,7,0,1,6,10,0,5,2,0,2,5,0,8,0,0,3,1,0,2,0,0,0,1,0,0,0,1,13,8,0,18,1,1,10,8,0,16,1,0,0,0,0,2,0,0,2,2,0,5,0,1,6,3,0,5,1,0,2,3,0,4,0,0,3,0,0,2,0,0,0,7,0,4,0,0,0,6,0,4,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,7,0,2,1,0,1,7,0,2,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,4,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0
