study_m,phases,year,month,day,date,obd,csab_ho_clinical,crab_ho_clinical,cskp_ho_clinical,crkp_ho_clinical,cspa_ho_clinical,crpa_ho_clinical,csab_ho_bsi,crab_ho_bsi,cskp_ho_bsi,crkp_ho_bsi,cspa_ho_bsi,crpa_ho_bsi,csab_ho_resp,crab_ho_resp,cskp_ho_resp,crkp_ho_resp,cspa_ho_resp,crpa_ho_resp,csab_ho_uti,crab_ho_uti,cskp_ho_uti,crkp_ho_uti,cspa_ho_uti,crpa_ho_uti,csab_ho_other,crab_ho_other,cskp_ho_other,crkp_ho_other,cspa_ho_other,crpa_ho_other,csab_ho_swab,crab_ho_swab,cskp_ho_swab,crkp_ho_swab,cspa_ho_swab,crpa_ho_swab,csab_co_nothca_clinical,crab_co_nothca_clinical,cskp_co_nothca_clinical,crkp_co_nothca_clinical,cspa_co_nothca_clinical,crpa_co_nothca_clinical,csab_co_nothca_bsi,crab_co_nothca_bsi,cskp_co_nothca_bsi,crkp_co_nothca_bsi,cspa_co_nothca_bsi,crpa_co_nothca_bsi,csab_co_nothca_resp,crab_co_nothca_resp,cskp_co_nothca_resp,crkp_co_nothca_resp,cspa_co_nothca_resp,crpa_co_nothca_resp,csab_co_nothca_uti,crab_co_nothca_uti,cskp_co_nothca_uti,crkp_co_nothca_uti,cspa_co_nothca_uti,crpa_co_nothca_uti,csab_co_nothca_other,crab_co_nothca_other,cskp_co_nothca_other,crkp_co_nothca_other,cspa_co_nothca_other,crpa_co_nothca_other,csab_co_nothca_adm_swab,crab_co_nothca_adm_swab,cskp_co_nothca_adm_swab,crkp_co_nothca_adm_swab,cspa_co_nothca_adm_swab,crpa_co_nothca_adm_swab,csab_co_hca_clinical,crab_co_hca_clinical,cskp_co_hca_clinical,crkp_co_hca_clinical,cspa_co_hca_clinical,crpa_co_hca_clinical,csab_co_hca_bsi,crab_co_hca_bsi,cskp_co_hca_bsi,crkp_co_hca_bsi,cspa_co_hca_bsi,crpa_co_hca_bsi,csab_co_hca_resp,crab_co_hca_resp,cskp_co_hca_resp,crkp_co_hca_resp,cspa_co_hca_resp,crpa_co_hca_resp,csab_co_hca_uti,crab_co_hca_uti,cskp_co_hca_uti,crkp_co_hca_uti,cspa_co_hca_uti,crpa_co_hca_uti,csab_co_hca_other,crab_co_hca_other,cskp_co_hca_other,crkp_co_hca_other,cspa_co_hca_other,crpa_co_hca_other,csab_co_hca_adm_swab,crab_co_hca_adm_swab,cskp_co_hca_adm_swab,crkp_co_hca_adm_swab,cspa_co_hca_adm_swab,crpa_co_hca_adm_swab,csab_ho_clinical_incid,crab_ho_clinical_incid,cskp_ho_clinical_incid,crkp_ho_clinical_incid,cspa_ho_clinical_incid,crpa_ho_clinical_incid,csab_ho_bsi_incid,crab_ho_bsi_incid,cskp_ho_bsi_incid,crkp_ho_bsi_incid,cspa_ho_bsi_incid,crpa_ho_bsi_incid,csab_ho_resp_incid,crab_ho_resp_incid,cskp_ho_resp_incid,crkp_ho_resp_incid,cspa_ho_resp_incid,crpa_ho_resp_incid,csab_ho_uti_incid,crab_ho_uti_incid,cskp_ho_uti_incid,crkp_ho_uti_incid,cspa_ho_uti_incid,crpa_ho_uti_incid,csab_ho_other_incid,crab_ho_other_incid,cskp_ho_other_incid,crkp_ho_other_incid,cspa_ho_other_incid,crpa_ho_other_incid,csab_ho_swab_incid,crab_ho_swab_incid,cskp_ho_swab_incid,crkp_ho_swab_incid,cspa_ho_swab_incid,crpa_ho_swab_incid,csab_co_nothca_clinical_incid,crab_co_nothca_clinical_incid,cskp_co_nothca_clinical_incid,crkp_co_nothca_clinical_incid,cspa_co_nothca_clinical_incid,crpa_co_nothca_clinical_incid,csab_co_nothca_bsi_incid,crab_co_nothca_bsi_incid,cskp_co_nothca_bsi_incid,crkp_co_nothca_bsi_incid,cspa_co_nothca_bsi_incid,crpa_co_nothca_bsi_incid,csab_co_nothca_resp_incid,crab_co_nothca_resp_incid,cskp_co_nothca_resp_incid,crkp_co_nothca_resp_incid,cspa_co_nothca_resp_incid,crpa_co_nothca_resp_incid,csab_co_nothca_uti_incid,crab_co_nothca_uti_incid,cskp_co_nothca_uti_incid,crkp_co_nothca_uti_incid,cspa_co_nothca_uti_incid,crpa_co_nothca_uti_incid,csab_co_nothca_other_incid,crab_co_nothca_other_incid,cskp_co_nothca_other_incid,crkp_co_nothca_other_incid,cspa_co_nothca_other_incid,crpa_co_nothca_other_incid,csab_co_nothca_adm_swab_incid,crab_co_nothca_adm_swab_incid,cskp_co_nothca_adm_swab_incid,crkp_co_nothca_adm_swab_incid,cspa_co_nothca_adm_swab_incid,crpa_co_nothca_adm_swab_incid,csab_co_hca_clinical_incid,crab_co_hca_clinical_incid,cskp_co_hca_clinical_incid,crkp_co_hca_clinical_incid,cspa_co_hca_clinical_incid,crpa_co_hca_clinical_incid,csab_co_hca_bsi_incid,crab_co_hca_bsi_incid,cskp_co_hca_bsi_incid,crkp_co_hca_bsi_incid,cspa_co_hca_bsi_incid,crpa_co_hca_bsi_incid,csab_co_hca_resp_incid,crab_co_hca_resp_incid,cskp_co_hca_resp_incid,crkp_co_hca_resp_incid,cspa_co_hca_resp_incid,crpa_co_hca_resp_incid,csab_co_hca_uti_incid,crab_co_hca_uti_incid,cskp_co_hca_uti_incid,crkp_co_hca_uti_incid,cspa_co_hca_uti_incid,crpa_co_hca_uti_incid,csab_co_hca_other_incid,crab_co_hca_other_incid,cskp_co_hca_other_incid,crkp_co_hca_other_incid,cspa_co_hca_other_incid,crpa_co_hca_other_incid,csab_co_hca_adm_swab_incid,crab_co_hca_adm_swab_incid,cskp_co_hca_adm_swab_incid,crkp_co_hca_adm_swab_incid,cspa_co_hca_adm_swab_incid,crpa_co_hca_adm_swab_incid
11,1,2008,11,1,01/11/2008,18528,1,1,8,2,19,2,1,0,0,0,1,0,0,0,0,0,8,0,0,1,5,1,7,0,0,0,3,1,3,2,2,0,0,0,2,0,2,0,7,0,6,3,0,0,0,0,1,0,1,0,0,0,2,0,1,0,6,0,0,3,0,0,1,0,3,0,0,0,1,0,0,0,0,1,3,0,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0.54,0.54,4.32,1.08,10.25,1.08,0.54,0,0,0,0.54,0,0,0,0,0,4.32,0,0,0.54,2.7,0.54,3.78,0,0,0,1.62,0.54,1.62,1.08,1.08,0,0,0,1.08,0,1.08,0,3.78,0,3.24,1.62,0,0,0,0,0.54,0,0.54,0,0,0,1.08,0,0.54,0,3.24,0,0,1.62,0,0,0.54,0,1.62,0,0,0,0.54,0,0,0,0,0.54,1.62,0,2.7,0,0,0,0,0,0.54,0,0,0,0,0,0.54,0,0,0.54,1.08,0,0.54,0,0,0,0.54,0,1.08,0,0,0,0,0,0,0
12,1,2008,12,1,01/12/2008,14786,1,2,10,0,22,8,0,0,1,0,1,1,0,1,2,0,4,2,0,1,5,0,7,2,1,0,2,0,10,3,1,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68,1.35,6.76,0,14.88,5.41,0,0,0.68,0,0.68,0.68,0,0.68,1.35,0,2.71,1.35,0,0.68,3.38,0,4.73,1.35,0.68,0,1.35,0,6.76,2.03,0.68,0,0,0,0,0,0,0,2.71,0,3.38,0,0,0,0,0,0,0,0,0,1.35,0,1.35,0,0,0,1.35,0,2.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2,2009,1,1,01/01/2009,16932,1,1,7,0,14,3,0,0,2,0,0,0,1,1,1,0,5,1,0,0,1,0,5,1,0,0,3,0,4,1,0,0,4,0,3,1,0,0,2,0,7,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.59,0.59,4.13,0,8.27,1.77,0,0,1.18,0,0,0,0.59,0.59,0.59,0,2.95,0.59,0,0,0.59,0,2.95,0.59,0,0,1.77,0,2.36,0.59,0,0,2.36,0,1.77,0.59,0,0,1.18,0,4.13,0,0,0,0.59,0,0.59,0,0,0,0,0,1.18,0,0,0,0.59,0,1.77,0,0,0,0,0,0.59,0,0,0,0.59,0,0,0,0,0,1.77,0.59,0,0,0,0,0.59,0,0,0,0,0,0.59,0.59,0,0,0,0,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0
14,2,2009,2,1,01/02/2009,16932,1,3,11,0,15,6,0,0,0,0,0,0,0,1,2,0,6,5,0,1,6,0,7,0,1,1,3,0,2,1,0,0,3,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0.59,1.77,6.5,0,8.86,3.54,0,0,0,0,0,0,0,0.59,1.18,0,3.54,2.95,0,0.59,3.54,0,4.13,0,0.59,0.59,1.77,0,1.18,0.59,0,0,1.77,0,2.36,0,0,0,2.36,0,2.36,0,0,0,0,0,0,0,0,0,0,0,1.18,0,0,0,2.36,0,0,0,0,0,0,0,1.18,0,0,0,0,0,0,0,0.59,0.59,1.18,0,1.18,0.59,0,0,0,0,0,0,0,0,0,0,0.59,0.59,0,0,1.18,0,0.59,0,0.59,0.59,0,0,0,0,0,0,0,0,0.59,0
15,2,2009,3,1,01/03/2009,18518,0,6,8,0,16,3,0,2,1,0,1,0,0,4,3,0,7,1,0,0,1,0,6,0,0,0,3,0,2,2,0,0,1,0,2,1,0,2,7,0,9,0,0,0,1,0,1,0,0,0,1,0,2,0,0,2,4,0,2,0,0,0,1,0,4,0,0,0,0,0,0,0,0,1,4,0,5,1,0,1,1,0,1,0,0,0,0,0,3,0,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3.24,4.32,0,8.64,1.62,0,1.08,0.54,0,0.54,0,0,2.16,1.62,0,3.78,0.54,0,0,0.54,0,3.24,0,0,0,1.62,0,1.08,1.08,0,0,0.54,0,1.08,0.54,0,1.08,3.78,0,4.86,0,0,0,0.54,0,0.54,0,0,0,0.54,0,1.08,0,0,1.08,2.16,0,1.08,0,0,0,0.54,0,2.16,0,0,0,0,0,0,0,0,0.54,2.16,0,2.7,0.54,0,0.54,0.54,0,0.54,0,0,0,0,0,1.62,0,0,0,1.08,0,0.54,0.54,0,0,0.54,0,0,0,0,0,0,0,0,0
16,2,2009,4,1,01/04/2009,17599,0,6,12,0,19,3,0,1,2,0,1,0,0,2,0,0,7,2,0,2,8,0,4,0,0,1,2,0,7,1,0,0,1,0,1,0,0,0,4,0,4,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,3.41,6.82,0,10.8,1.7,0,0.57,1.14,0,0.57,0,0,1.14,0,0,3.98,1.14,0,1.14,4.55,0,2.27,0,0,0.57,1.14,0,3.98,0.57,0,0,0.57,0,0.57,0,0,0,2.27,0,2.27,0.57,0,0,0.57,0,0.57,0,0,0,0.57,0,0,0,0,0,0.57,0,1.7,0.57,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,4.55,0,2.27,0,0,0,1.7,0,0.57,0,0,0,0,0,0.57,0,0,0,2.27,0,0.57,0,0,0,0.57,0,0.57,0,0,0,0,0,0.57,0
17,2,2009,5,1,01/05/2009,17032,0,4,15,0,13,3,0,0,0,0,2,1,0,1,2,0,1,0,0,2,9,0,4,0,0,1,4,0,6,2,0,0,1,0,1,1,0,1,7,0,7,0,0,0,1,0,1,0,0,0,3,0,2,0,0,1,3,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,10,1,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,5,0,0,0,1,0,3,0,0,0,1,0,0,0,0,2.35,8.81,0,7.63,1.76,0,0,0,0,1.17,0.59,0,0.59,1.17,0,0.59,0,0,1.17,5.28,0,2.35,0,0,0.59,2.35,0,3.52,1.17,0,0,0.59,0,0.59,0.59,0,0.59,4.11,0,4.11,0,0,0,0.59,0,0.59,0,0,0,1.76,0,1.17,0,0,0.59,1.76,0,1.17,0,0,0,0,0,1.17,0,0,0,0,0,0,0,0,0.59,0.59,0,5.87,0.59,0,0,0,0,0,0,0,0.59,0,0,1.17,0.59,0,0,0,0,2.94,0,0,0,0.59,0,1.76,0,0,0,0.59,0,0,0
18,2,2009,6,1,01/06/2009,18054,0,9,12,0,13,3,0,1,0,0,2,1,0,4,1,0,3,2,0,1,8,0,2,0,0,3,3,0,6,0,0,0,0,0,1,1,0,0,7,0,6,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,5,0,2,1,0,0,1,0,1,1,0,2,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.99,6.65,0,7.2,1.66,0,0.55,0,0,1.11,0.55,0,2.22,0.55,0,1.66,1.11,0,0.55,4.43,0,1.11,0,0,1.66,1.66,0,3.32,0,0,0,0,0,0.55,0.55,0,0,3.88,0,3.32,0,0,0,0,0,0.55,0,0,0,0,0,1.11,0,0,0,3.88,0,1.66,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,1.11,2.77,0,1.11,0.55,0,0,0.55,0,0.55,0.55,0,1.11,0.55,0,0.55,0,0,0,1.66,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0
19,2,2009,7,1,01/07/2009,17576,2,9,17,1,18,3,0,1,2,0,2,0,1,1,2,0,2,1,1,3,8,1,8,0,0,4,5,0,6,2,0,3,2,0,0,0,0,0,5,0,7,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,4,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,3,0,4,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,1,1,0,1,1,0,0,0,0,0,0,1.14,5.12,9.67,0.57,10.24,1.71,0,0.57,1.14,0,1.14,0,0.57,0.57,1.14,0,1.14,0.57,0.57,1.71,4.55,0.57,4.55,0,0,2.28,2.84,0,3.41,1.14,0,1.71,1.14,0,0,0,0,0,2.84,0,3.98,0,0,0,0.57,0,0,0,0,0,0,0,1.14,0,0,0,2.28,0,1.14,0,0,0,0,0,1.71,0,0,0,0,0,0,0,0,1.14,1.71,0,2.28,0.57,0,0,0.57,0,0,0,0,0.57,0,0,0,0,0,0,0.57,0,1.71,0,0,0.57,0.57,0,0.57,0.57,0,0,0,0,0,0
20,2,2009,8,1,01/08/2009,13136,0,18,14,0,21,6,0,5,1,0,2,1,0,6,1,0,6,3,0,3,10,0,8,2,0,4,2,0,5,0,0,1,0,1,0,0,0,0,10,0,4,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,7,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4,4,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13.7,10.66,0,15.99,4.57,0,3.81,0.76,0,1.52,0.76,0,4.57,0.76,0,4.57,2.28,0,2.28,7.61,0,6.09,1.52,0,3.05,1.52,0,3.81,0,0,0.76,0,0.76,0,0,0,0,7.61,0,3.05,0,0,0,0.76,0,0,0,0,0,0.76,0,0.76,0,0,0,5.33,0,1.52,0,0,0,0.76,0,0.76,0,0,0,0,0,0,0,0,3.05,3.05,0,1.52,0,0,0,0,0,0,0,0,1.52,0,0,0.76,0,0,0.76,3.05,0,0.76,0,0,0.76,0,0,0,0,0,0,0,0,0,0
21,2,2009,9,1,01/09/2009,16801,1,20,14,1,20,2,0,0,0,0,1,0,1,11,6,0,5,1,0,4,3,0,6,0,0,5,5,1,8,1,1,0,1,0,1,0,0,0,11,0,7,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,8,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,4,0,2,2,0,0,0,0,0,0,0,1,1,0,0,1,0,1,2,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0.6,11.9,8.33,0.6,11.9,1.19,0,0,0,0,0.6,0,0.6,6.55,3.57,0,2.98,0.6,0,2.38,1.79,0,3.57,0,0,2.98,2.98,0.6,4.76,0.6,0.6,0,0.6,0,0.6,0,0,0,6.55,0,4.17,0,0,0,0.6,0,0,0,0,0,1.19,0,0,0,0,0,4.76,0,1.79,0,0,0,0,0,2.38,0,0,0,0,0,0,0,0,1.19,2.38,0,1.19,1.19,0,0,0,0,0,0,0,0.6,0.6,0,0,0.6,0,0.6,1.19,0,0.6,0.6,0,0,0.6,0,0.6,0,0,0.6,0,0,0,0
22,2,2009,10,1,01/10/2009,19259,2,19,16,0,20,4,0,2,1,0,3,0,1,6,3,0,8,3,1,3,5,0,1,0,0,8,7,0,8,1,0,0,2,0,2,0,2,0,8,0,11,0,0,0,0,0,0,0,0,0,2,0,4,0,1,0,5,0,4,0,1,0,1,0,3,0,0,0,0,0,0,0,0,5,8,0,4,1,0,0,1,0,0,0,0,1,1,0,3,1,0,4,4,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1.04,9.87,8.31,0,10.38,2.08,0,1.04,0.52,0,1.56,0,0.52,3.12,1.56,0,4.15,1.56,0.52,1.56,2.6,0,0.52,0,0,4.15,3.63,0,4.15,0.52,0,0,1.04,0,1.04,0,1.04,0,4.15,0,5.71,0,0,0,0,0,0,0,0,0,1.04,0,2.08,0,0.52,0,2.6,0,2.08,0,0.52,0,0.52,0,1.56,0,0,0,0,0,0,0,0,2.6,4.15,0,2.08,0.52,0,0,0.52,0,0,0,0,0.52,0.52,0,1.56,0.52,0,2.08,2.08,0,0.52,0,0,0,1.04,0,0,0,0,0,0,0,0,0
23,2,2009,11,1,01/11/2009,18177,1,10,8,0,16,1,0,0,0,0,2,0,0,2,2,0,5,0,1,6,3,0,5,1,0,2,3,0,4,0,0,3,0,0,2,0,0,0,6,0,4,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,7,0,2,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,4,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0.55,5.5,4.4,0,8.8,0.55,0,0,0,0,1.1,0,0,1.1,1.1,0,2.75,0,0.55,3.3,1.65,0,2.75,0.55,0,1.1,1.65,0,2.2,0,0,1.65,0,0,1.1,0,0,0,3.3,0,2.2,0,0,0,0.55,0,0,0,0,0,1.1,0,0.55,0,0,0,1.65,0,0,0,0,0,0,0,1.65,0,0,0,0.55,0,0,0,0,0.55,3.85,0,1.1,0.55,0,0,0.55,0,0,0,0,0.55,0,0,0.55,0,0,0,2.2,0,0,0.55,0,0,1.1,0,0.55,0,0,0,0,0,0,0
24,2,2009,12,1,01/12/2009,18681,1,9,17,0,18,3,0,2,0,0,1,0,0,4,2,0,8,2,0,2,11,0,7,0,1,1,4,0,2,1,0,0,1,0,0,0,1,0,8,0,5,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,3,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54,4.82,9.1,0,9.64,1.61,0,1.07,0,0,0.54,0,0,2.14,1.07,0,4.28,1.07,0,1.07,5.89,0,3.75,0,0.54,0.54,2.14,0,1.07,0.54,0,0,0.54,0,0,0,0.54,0,4.28,0,2.68,0,0,0,1.61,0,0.54,0,0,0,0,0,0,0,0.54,0,1.61,0,1.61,0,0,0,1.07,0,0.54,0,0,0,0,0,0,0,0,0,3.75,0,1.07,0,0,0,0.54,0,0,0,0,0,1.07,0,0.54,0,0,0,2.14,0,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,2010,1,1,01/01/2010,16904,0,18,27,0,17,6,0,0,3,0,1,1,0,9,3,0,3,2,0,6,12,0,6,1,0,3,9,0,7,2,0,0,2,0,1,0,0,0,6,0,7,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,4,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,0,5,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,3,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,10.65,15.97,0,10.06,3.55,0,0,1.77,0,0.59,0.59,0,5.32,1.77,0,1.77,1.18,0,3.55,7.1,0,3.55,0.59,0,1.77,5.32,0,4.14,1.18,0,0,1.18,0,0.59,0,0,0,3.55,0,4.14,0,0,0,0.59,0,0.59,0,0,0,0,0,0.59,0,0,0,2.37,0,2.96,0,0,0,0.59,0,0,0,0,0,0,0,0,0,0,1.18,1.77,0,2.96,0.59,0,0,0,0,0,0,0,0.59,0,0,1.77,0,0,0,1.77,0,0,0.59,0,0.59,0,0,1.18,0,0,0,0,0,0,0
26,2,2010,2,1,01/02/2010,16904,1,4,12,1,17,7,1,0,2,0,1,2,0,2,1,0,4,1,0,1,5,1,8,1,0,1,4,0,4,3,0,0,2,0,2,0,0,0,8,0,7,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,7,0,3,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,5,0,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0.59,2.37,7.1,0.59,10.06,4.14,0.59,0,1.18,0,0.59,1.18,0,1.18,0.59,0,2.37,0.59,0,0.59,2.96,0.59,4.73,0.59,0,0.59,2.37,0,2.37,1.77,0,0,1.18,0,1.18,0,0,0,4.73,0,4.14,0,0,0,0,0,0,0,0,0,0.59,0,0.59,0,0,0,4.14,0,1.77,0,0,0,0,0,1.77,0,0,0,0,0,0,0.59,0,0,2.96,0,1.18,0.59,0,0,0,0,0,0,0,0,0.59,0,0,0.59,0,0,2.37,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0.59,0
27,2,2010,3,1,01/03/2010,20343,0,9,21,3,21,5,0,0,2,1,2,1,0,3,5,0,7,2,0,1,9,2,8,2,0,5,5,0,4,0,0,0,1,0,2,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,4.42,10.32,1.47,10.32,2.46,0,0,0.98,0.49,0.98,0.49,0,1.47,2.46,0,3.44,0.98,0,0.49,4.42,0.98,3.93,0.98,0,2.46,2.46,0,1.97,0,0,0,0.49,0,0.98,0,0,0,1.97,0,0.98,0,0,0,0,0,0,0,0,0,1.47,0,0,0,0,0,0.49,0,0.49,0,0,0,0,0,0.49,0,0,0.49,0,0,0,0,0,0,1.47,0,3.44,0,0,0,0,0,0,0,0,0,0.49,0,1.47,0,0,0,0.98,0,0,0,0,0,0,0,1.97,0,0,0,0.49,0,0,0
28,2,2010,4,1,01/04/2010,17751,1,10,16,1,9,5,0,1,0,0,1,2,1,6,5,0,2,2,0,2,4,0,2,1,0,1,7,1,4,0,2,0,2,0,1,1,0,0,4,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,2,0,0,1,0,1,0,0,0,0,0,1,0,0,1,5,0,6,1,0,0,1,0,0,0,0,0,1,0,2,0,0,1,2,0,4,1,0,0,1,0,0,0,0,0,1,0,2,1,0.56,5.63,9.01,0.56,5.07,2.82,0,0.56,0,0,0.56,1.13,0.56,3.38,2.82,0,1.13,1.13,0,1.13,2.25,0,1.13,0.56,0,0.56,3.94,0.56,2.25,0,1.13,0,1.13,0,0.56,0.56,0,0,2.25,0,2.25,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69,0,1.69,1.13,0,0,0.56,0,0.56,0,0,0,0,0,0.56,0,0,0.56,2.82,0,3.38,0.56,0,0,0.56,0,0,0,0,0,0.56,0,1.13,0,0,0.56,1.13,0,2.25,0.56,0,0,0.56,0,0,0,0,0,0.56,0,1.13,0.56
29,2,2010,5,1,01/05/2010,19197,1,8,18,0,20,7,0,1,0,0,3,1,0,5,1,0,3,4,0,2,9,0,7,2,1,0,8,0,7,0,0,0,2,0,3,0,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,1,0,3,0,0,0,1,0,3,0,0,1,4,1,4,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,2,0,0,0,2,0,1,0,1,0,0,0,0,0,0.52,4.17,9.38,0,10.42,3.65,0,0.52,0,0,1.56,0.52,0,2.6,0.52,0,1.56,2.08,0,1.04,4.69,0,3.65,1.04,0.52,0,4.17,0,3.65,0,0,0,1.04,0,1.56,0,0,0,2.08,0.52,2.08,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.56,0.52,0.52,0.52,0,0,0.52,0,1.56,0,0,0,0.52,0,1.56,0,0,0.52,2.08,0.52,2.08,0,0,0,0.52,0.52,0,0,0,0.52,0,0,0.52,0,0,0,0.52,0,1.04,0,0,0,1.04,0,0.52,0,0.52,0,0,0,0,0
30,2,2010,6,1,01/06/2010,18737,1,11,22,2,16,8,0,1,3,1,1,2,1,3,3,0,3,2,0,5,9,1,6,3,0,2,7,0,6,1,0,0,1,0,1,0,1,0,4,0,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,1,0,0,1,0,0,1,0,0,0,0,2,0,0,0,1,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0.53,5.87,11.74,1.07,8.54,4.27,0,0.53,1.6,0.53,0.53,1.07,0.53,1.6,1.6,0,1.6,1.07,0,2.67,4.8,0.53,3.2,1.6,0,1.07,3.74,0,3.2,0.53,0,0,0.53,0,0.53,0,0.53,0,2.13,0,1.07,0.53,0,0,0,0,0,0,0,0,0.53,0,0,0.53,0,0,1.6,0,1.07,0,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,3.2,0.53,0,0,0.53,0,0,0.53,0,0,0,0,1.07,0,0,0,0.53,0,1.6,0,0,0,0.53,0,0.53,0,0,0,0,0,0,0
